"행정구역","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년07월_남자 인구수","2019년07월_여자 인구수","2019년07월_남여 비율"
"경상남도 고성군 (4882000000)","52,677","25,925","      2.03","26,407","26,270","      1.01"
"경상남도 남해군 (4884000000)","43,980","22,628","      1.94","21,139","22,841","      0.93"
"경상남도 하동군 (4885000000)","46,914","23,698","      1.98","23,256","23,658","      0.98"
"경상남도 산청군 (4886000000)","35,550","18,960","      1.88","17,355","18,195","      0.95"
"경상남도 함양군 (4887000000)","39,832","20,372","      1.96","19,140","20,692","      0.92"
"경상남도 거창군 (4888000000)","62,488","29,433","      2.12","30,481","32,007","      0.95"
"경상남도 합천군 (4889000000)","45,496","24,186","      1.88","21,800","23,696","      0.92"
"제주특별자치도  (5000000000)","670,209","291,173","      2.30","337,108","333,101","      1.01"
"제주특별자치도 제주시 (5011000000)","488,447","207,696","      2.35","245,154","243,293","      1.01"
"제주특별자치도 서귀포시 (5013000000)","181,762","83,477","      2.18","91,954","89,808","      1.02"
